connector_1_name,connector_2_name,vector_1_name,vector_2_name,join_name,vector_1_idx,vector_2_idx,join_idx
LEFT_FOOT_TOP,LEFT_LOWER_LEG,LEFT_FOOT_INDEX,LEFT_KNEE,LEFT_ANKLE,31,25,27
LEFT_LOWER_LEG,LEFT_UPPER_LEG,LEFT_ANKLE,LEFT_HIP,LEFT_KNEE,27,23,25
LEFT_UPPER_LEG,HIPS,LEFT_KNEE,RIGHT_HIP,LEFT_HIP,25,24,23
RIGHT_FOOT_TOP,RIGHT_LOWER_LEG,RIGHT_FOOT_INDEX,RIGHT_KNEE,RIGHT_ANKLE,32,26,28
RIGHT_LOWER_LEG,RIGHT_UPPER_LEG,RIGHT_ANKLE,RIGHT_HIP,RIGHT_KNEE,28,24,26
RIGHT_UPPER_LEG,HIPS,RIGHT_KNEE,LEFT_HIP,RIGHT_HIP,26,23,24
HIPS,LEFT_FLANK,RIGHT_HIP,LEFT_SHOULDER,LEFT_HIP,24,11,23
HIPS,RIGHT_FLANK,LEFT_HIP,RIGHT_SHOULDER,RIGHT_HIP,23,12,24
LEFT_FLANK,SHOULDERS,LEFT_HIP,RIGHT_SHOULDER,LEFT_SHOULDER,23,12,11
RIGHT_FLANK,SHOULDERS,RIGHT_HIP,LEFT_SHOULDER,RIGHT_SHOULDER,24,11,12
SHOULDERS,LEFT_UPPER_ARM,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_SHOULDER,12,13,11
LEFT_UPPER_ARM,LEFT_LOWER_ARM,LEFT_SHOULDER,LEFT_WRIST,LEFT_ELBOW,11,15,13
LEFT_LOWER_ARM,LEFT_HAND_OUTER,LEFT_ELBOW,LEFT_PINKY,LEFT_WRIST,13,17,15
SHOULDERS,RIGHT_UPPER_ARM,LEFT_SHOULDER,RIGHT_ELBOW,RIGHT_SHOULDER,11,14,12
RIGHT_UPPER_ARM,RIGHT_LOWER_ARM,RIGHT_SHOULDER,RIGHT_WRIST,RIGHT_ELBOW,12,16,14
RIGHT_LOWER_ARM,RIGHT_HAND_OUTER,RIGHT_ELBOW,RIGHT_PINKY,RIGHT_WRIST,14,18,16
